time,second,totalvolt(V),totalcurrent(A),excitvolt(V),excitcurrent(A),phaseAvolt(V),phaseBvolt(V),phaseCvolt(V)
2022.08.31  12:19:19,17,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:20,18,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:21,19,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:22,20,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:23,21,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:24,22,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:25,23,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:26,24,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:27,25,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:28,26,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:29,27,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:30,28,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:31,29,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:32,30,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:33,31,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:34,32,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:35,33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:36,34,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:37,35,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:38,36,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:39,37,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:40,38,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:41,39,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  12:19:42,40,0.33,0.33,0.33,0.33,0.33,0.33,0.33
